service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
881614,0,0,0,0,0,0,1,20240101,20271231
880893,1,1,1,1,1,1,0,20240101,20271231
881744,0,0,0,0,0,0,1,20240101,20271231
882006,0,0,0,0,0,0,1,20240101,20271231
882002,1,1,1,1,1,1,0,20240101,20271231
880772,1,1,1,1,1,0,0,20240101,20271231
880774,0,0,0,0,0,1,1,20240101,20271231
881444,0,0,0,0,0,0,1,20240101,20271231
881445,0,0,0,0,0,0,1,20240101,20271231
881397,0,0,0,0,0,1,0,20240101,20271231
881408,1,1,1,1,1,0,0,20240101,20271231
881411,1,1,1,1,1,0,0,20240101,20271231
880851,1,1,1,1,1,0,0,20240101,20271231
880853,0,0,0,0,0,1,0,20240101,20271231
881502,0,0,0,0,0,0,1,20240101,20271231
881578,0,0,0,0,0,1,1,20240101,20271231
724594,1,1,1,1,1,1,1,20240101,20271231
881579,0,0,0,0,0,1,1,20240101,20271231
WEEKDAYS,1,1,1,1,1,0,0,20240101,20271231
DAILY,1,1,1,1,1,1,1,20240101,20271231
